2026-04-01 19:48:20 | INFO     | PID:35688 | agentkernel_distributed.mas.agent.agent_manager:init:57 - [pod_0] AgentManager: Initializing 5 agents...
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent_manager:init:57 - [pod_0] AgentManager: Initializing 5 agents...
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.agent.agent_manager:init:65 - [pod_0] AgentManager: All agents initialized.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent_manager:init:57 - [pod_2] AgentManager: Initializing 5 agents...
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.agent.agent_manager:init:65 - [pod_2] AgentManager: All agents initialized.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent_manager:init:57 - [pod_1] AgentManager: Initializing 5 agents...
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.agent.agent_manager:init:65 - [pod_1] AgentManager: All agents initialized.
2026-04-01 19:58:21 | INFO     | PID:27008 | agentkernel_distributed.mas.agent.agent_manager:init:57 - [pod_4] AgentManager: Initializing 5 agents...
2026-04-01 19:58:21 | INFO     | PID:27008 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:27008 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
2026-04-01 19:58:21 | INFO     | PID:27008 | agentkernel_distributed.mas.agent.agent:init:103 - Successfully initialized Agent components concurrently.
